Ticker,Sector,Score,Rating,Cobertura,Q,Val,Gro,Saf,Mom,Inc,pe,forward_pe,pb,ev_ebitda,roe,profit_margin,revenue_growth,earnings_growth,debt_to_equity,dividend_yield,Mom%
ABBV,Healthcare,4.8,Regular,6/6,3.9,4.6,4.9,2.4,5.8,6.1,123.97561,15.5997095,-67.46748,17.088,,0.05786,0.124,-0.462,,2.73,23.3
PKX,Basic Materials,4.79,Regular,6/6,3.6,6.9,4.5,4.3,4.0,7.5,29.131147,9.443087,1.7307447,3.951,0.01125,0.011829999,0.025,0.545,49.969,3.25,47.5
SIEGY,Industrials,4.79,Regular,6/6,4.4,4.3,3.3,6.6,5.8,7.0,28.196724,21.072865,3.2846217,24.412,0.12593001,0.09688,0.0,-0.086,76.352,2.08,21.7
KMB,Consumer Defensive,4.78,Regular,6/6,8.5,5.5,4.5,2.5,1.4,8.5,21.259188,14.527792,20.312328,12.828,1.11727,0.12798999,0.027,0.179,371.264,4.68,-21.0
BIDU,Communication Services,4.78,Regular,5/6,2.8,8.4,1.9,6.8,8.5,,,12.327376,0.9646831,1.533,0.00319,0.01023,-0.012,-0.593,32.2,,57.1
LMT,Industrials,4.77,Regular,6/6,6.8,4.9,3.3,3.7,4.6,8.3,24.304117,15.641176,15.413531,16.984,0.6764,0.06382,0.003,-0.115,276.365,2.72,18.0
SNOW,Technology,4.77,Regular,5/6,1.4,1.8,7.5,2.4,5.2,,,93.66683,44.96962,-76.426,-0.54869,-0.23786,0.335,,142.912,,14.8
ASR,Industrials,4.76,Regular,6/6,7.5,7.7,3.2,8.3,1.9,5.3,16.701782,12.174495,3.8325381,1.892,0.17817,0.26231,0.008,-0.2,71.523,1.86,-5.3
MOS,Basic Materials,4.76,Regular,6/6,3.2,7.1,5.9,3.6,1.5,8.2,160.35715,11.573418,0.6045184,6.396,0.0059399996,0.0036199999,0.144,,48.19,3.93,-32.2
ERIC,Technology,4.75,Regular,6/6,5.6,8.4,1.4,3.9,6.7,8.4,14.480519,16.461695,0.36211878,,0.27007,0.108950004,-0.103,-0.785,38.097,2.86,59.2
INTC,Technology,4.75,Regular,5/6,1.9,4.1,3.2,5.4,9.6,,,84.70957,5.939487,47.324,-0.02911,-0.05904,0.072,,36.028,,405.4
XLI,,4.75,Regular,3/6,,5.0,,,6.0,2.0,31.738512,,1.8576567,,,,,,,1.18,18.6
DD,Basic Materials,4.74,Regular,6/6,2.9,4.3,4.5,7.0,5.4,5.3,119.10526,17.288887,1.3212541,13.815,0.00896,-0.00419,0.043,,22.594,1.75,71.8
IREN,Financial Services,4.73,Regular,5/6,3.7,2.5,2.4,6.4,9.8,,59.62338,-48.840427,5.875352,126.539,0.07729,0.20877,0.0,,148.804,,353.9
HD,Consumer Cyclical,4.67,Regular,6/6,8.1,3.5,4.1,2.4,3.9,6.5,24.880766,21.785225,25.191866,16.435,1.2838,0.08411,0.048,-0.043,459.356,2.67,-12.4
RBLX,Communication Services,4.66,Regular,5/6,1.3,1.3,9.7,2.2,1.3,,,-42.778767,89.983444,-33.234,-3.11935,-0.2069,0.393,,435.036,,-55.2
KEP,Utilities,4.66,Regular,6/6,5.0,8.9,2.8,2.5,4.0,10.0,2.8189068,3.21834,0.48721555,4.76,0.18671,0.08923,0.007,0.071,255.55,4.35,-7.6
NOK,Technology,4.63,Regular,6/6,2.9,5.8,2.0,6.1,8.8,5.6,81.4375,26.768288,3.0305085,27.729,0.037249997,0.039809998,0.024,,15.63,1.26,189.7
ADP,Technology,4.62,Regular,6/6,8.0,6.0,3.0,3.0,2.9,8.6,20.96645,18.450085,14.192796,14.279,0.71208,0.20118,0.07,0.105,69.259,3.04,-26.6
UPS,Industrials,4.62,Regular,6/6,5.6,6.5,2.4,5.0,4.0,10.0,17.505672,13.497268,5.6511273,9.702,0.33353,0.05943,-0.016,-0.272,181.508,6.07,12.7
DHR,Healthcare,4.62,Regular,6/6,4.6,4.8,4.8,8.1,3.6,2.3,37.360466,20.93387,2.5766525,19.263,0.0708,0.14887999,0.037,0.098,37.17,0.82,-7.0
ABT,Healthcare,4.62,Regular,6/6,5.5,5.9,4.4,6.9,2.0,5.7,25.969189,15.302694,3.10181,16.299,0.123339996,0.13904999,0.078,-0.197,64.773,2.68,-35.0
ENB,Energy,4.58,Regular,6/6,5.5,2.7,5.7,1.9,2.5,7.9,26.758455,24.536247,2.953399,14.136,0.10127,0.1,0.208,-0.262,160.133,5.0,27.3
VRSN,Technology,4.58,Regular,6/6,9.6,5.3,3.1,1.3,4.0,5.9,27.899448,24.098997,-10.392246,20.902,,0.49958,0.066,0.114,,1.27,0.0
YELP,Communication Services,4.57,Regular,5/6,6.2,7.4,3.3,7.0,2.8,,11.298164,5.8307586,2.1821566,6.61,0.20446,0.09466,0.008,-0.167,24.549,,-33.5
DTEGY,Communication Services,4.53,Regular,6/6,4.9,6.6,3.0,4.0,5.2,6.4,13.781553,10.223396,1.9025986,7.472,0.14428,0.07222,0.004,-0.272,161.874,3.9,-5.3
SYY,Consumer Defensive,4.52,Regular,6/6,6.0,5.6,3.8,4.8,4.4,3.6,23.166668,16.828358,17.49528,11.632,0.81894994,0.02079,0.047,-0.135,670.44,2.66,3.0
BX,Financial Services,4.51,Regular,6/6,6.9,3.2,3.9,4.3,2.4,8.6,29.458973,15.24731,10.780708,,0.29533002,0.21213,0.057,0.039,72.022,4.31,-19.8
XLC,,4.5,Regular,3/6,,6.0,,,5.0,2.0,16.411333,,,,,,,,,1.21,7.7
ITA,,4.5,Regular,3/6,,1.0,,,8.0,1.0,36.65672,,,,,,,,,0.46,25.4
ADBE,Technology,4.47,Regular,5/6,8.4,8.3,3.5,2.6,2.2,,11.809497,7.4958844,7.1510715,8.432,0.62953997,0.28689,0.127,0.079,61.443,,-32.8
SWKS,Technology,4.46,Regular,6/6,3.6,8.5,1.7,6.4,4.7,8.9,28.212498,13.179023,1.766225,10.995,0.06171,0.08931,-0.01,-0.449,20.632,4.18,8.9
PSO,Communication Services,4.46,Regular,6/6,4.3,4.8,3.2,7.0,5.5,4.2,23.268656,14.985629,2.049503,18.832,0.08708999,0.09365,0.032,-0.357,40.513,2.2,1.7
COP,Energy,4.46,Regular,6/6,6.4,6.2,2.9,7.6,2.9,5.3,17.661016,11.312597,1.9668912,6.256,0.112840004,0.12331,-0.053,-0.202,36.143,3.17,30.6
UNH,Healthcare,4.45,Regular,6/6,4.2,4.3,3.5,4.0,6.8,4.0,31.660633,20.057781,3.8945067,20.626,0.121759996,0.02678,0.02,0.007,73.982,2.17,25.6
ACN,Technology,4.45,Regular,6/6,5.3,9.0,2.6,5.0,2.1,9.5,9.960063,8.49862,2.3925097,6.085,0.24406,0.10656,0.056,0.09,25.035,5.06,-36.6
INTU,Technology,4.45,Regular,6/6,6.4,8.2,3.6,4.8,1.3,6.7,16.263737,9.749402,3.5418468,11.443,0.22496,0.21907,0.104,0.107,33.448,1.79,-57.0
LOMA,Basic Materials,4.43,Regular,5/6,4.6,6.5,4.1,6.1,2.9,,55.047623,14.147769,1.6409057,1.528,0.03375,0.04246,0.011,0.44,25.588,,5.8
XOM,Energy,4.42,Regular,6/6,4.8,4.8,3.8,6.2,4.0,4.9,22.905724,12.5900345,2.1920764,10.923,0.09873,0.077649996,0.026,-0.434,18.261,3.02,37.0
DIS,Communication Services,4.42,Regular,6/6,5.5,5.8,4.3,4.1,3.7,3.7,15.7808,13.152893,1.5832223,11.148,0.1101,0.1154,0.065,-0.298,41.069,1.52,-16.2
SPCE,Industrials,4.39,Regular,5/6,2.0,9.7,1.3,4.1,9.1,,,-6.0932646,1.069869,-1.81,-1.04511,0.0,-0.508,,164.809,,126.4
CX,Basic Materials,4.38,Regular,6/6,4.5,5.9,3.5,3.1,6.5,2.8,34.728573,13.596197,1.3401324,7.8,0.038340002,0.02744,0.112,-0.675,46.389,0.8,89.3
CAH,Healthcare,4.34,Regular,6/6,2.6,4.6,5.2,3.7,5.2,2.7,36.12538,19.693584,-19.605013,15.238,,0.0062,0.11,-0.195,,0.86,18.5
HON,Industrials,4.33,Regular,6/6,6.5,6.0,2.7,4.6,3.7,6.1,18.165869,9.962599,5.310766,20.359,0.24264,0.1089,0.024,-0.419,257.387,2.05,8.5
